genre,anger,joy,neutral,sadness,trust
Action,54,43,2321,306,121
Adventure,47,37,1906,268,90
Cars,0,1,61,8,2
Comedy,89,103,3828,408,217
Dementia,1,3,190,33,13
Demons,6,2,234,40,12
Drama,30,24,1544,363,55
Ecchi,8,13,494,92,30
Fantasy,71,29,1786,345,78
Game,3,2,149,20,7
Harem,5,13,236,40,23
Hentai,7,15,912,147,60
Historical,6,2,618,159,21
Horror,17,1,286,59,6
Josei,0,1,45,4,4
Kids,59,28,1206,269,47
Magic,15,11,622,88,42
Martial Arts,5,6,218,29,7
Mecha,16,19,800,66,43
Military,8,4,349,48,17
Music,4,32,669,109,46
Mystery,13,3,413,57,9
Parody,4,6,335,38,25
Police,6,4,164,18,5
Psychological,8,2,171,43,5
Romance,14,49,1146,188,67
Samurai,1,1,126,11,9
School,13,36,962,142,67
Sci-Fi,25,35,1722,194,94
Seinen,8,2,446,73,18
Shoujo,11,13,470,71,38
Shoujo Ai,0,0,41,11,3
Shounen,21,28,1441,153,69
Shounen Ai,1,8,44,7,5
Slice of Life,4,29,986,141,60
Space,2,9,323,30,17
Sports,9,11,416,74,33
Super Power,8,10,376,53,18
Supernatural,22,4,822,163,26
Thriller,2,0,68,16,1
Vampire,2,0,83,11,6
Yaoi,1,0,29,8,1
Yuri,1,0,32,8,1
