anime_id,name,genre,type,rating,sentiment,emotion
32281,Kimi no Na wa.,"Drama, Romance, School, Supernatural",Movie,9.37,Positive,sadness
5114,Fullmetal Alchemist: Brotherhood,"Action, Adventure, Drama, Fantasy, Magic, Military, Shounen",TV,9.26,Positive,neutral
28977,Gintama°,"Action, Comedy, Historical, Parody, Samurai, Sci-Fi, Shounen",TV,9.25,Positive,neutral
9253,Steins;Gate,"Sci-Fi, Thriller",TV,9.17,Positive,neutral
9969,Gintama&#039;,"Action, Comedy, Historical, Parody, Samurai, Sci-Fi, Shounen",TV,9.16,Positive,neutral
32935,Haikyuu!!: Karasuno Koukou VS Shiratorizawa Gakuen Koukou,"Comedy, Drama, School, Shounen, Sports",TV,9.15,Positive,neutral
11061,Hunter x Hunter (2011),"Action, Adventure, Shounen, Super Power",TV,9.13,Positive,neutral
820,Ginga Eiyuu Densetsu,"Drama, Military, Sci-Fi, Space",OVA,9.11,Positive,neutral
15335,Gintama Movie: Kanketsu-hen - Yorozuya yo Eien Nare,"Action, Comedy, Historical, Parody, Samurai, Sci-Fi, Shounen",Movie,9.1,Positive,neutral
15417,Gintama&#039;: Enchousen,"Action, Comedy, Historical, Parody, Samurai, Sci-Fi, Shounen",TV,9.11,Positive,neutral
4181,Clannad: After Story,"Drama, Fantasy, Romance, Slice of Life, Supernatural",TV,9.06,Positive,neutral
28851,Koe no Katachi,"Drama, School, Shounen",Movie,9.05,Positive,sadness
918,Gintama,"Action, Comedy, Historical, Parody, Samurai, Sci-Fi, Shounen",TV,9.04,Positive,neutral
2904,Code Geass: Hangyaku no Lelouch R2,"Action, Drama, Mecha, Military, Sci-Fi, Super Power",TV,8.98,Positive,neutral
28891,Haikyuu!! Second Season,"Comedy, Drama, School, Shounen, Sports",TV,8.93,Positive,neutral
199,Sen to Chihiro no Kamikakushi,"Adventure, Drama, Supernatural",Movie,8.93,Positive,neutral
23273,Shigatsu wa Kimi no Uso,"Drama, Music, Romance, School, Shounen",TV,8.92,Positive,neutral
24701,Mushishi Zoku Shou 2nd Season,"Adventure, Fantasy, Historical, Mystery, Seinen, Slice of Life, Supernatural",TV,8.88,Positive,neutral
12355,Ookami Kodomo no Ame to Yuki,"Fantasy, Slice of Life",Movie,8.84,Positive,neutral
1575,Code Geass: Hangyaku no Lelouch,"Action, Mecha, Military, School, Sci-Fi, Super Power",TV,8.83,Positive,neutral
263,Hajime no Ippo,"Comedy, Drama, Shounen, Sports",TV,8.83,Positive,sadness
44,Rurouni Kenshin: Meiji Kenkaku Romantan - Tsuioku-hen,"Action, Drama, Historical, Martial Arts, Romance, Samurai",OVA,8.83,Positive,neutral
1,Cowboy Bebop,"Action, Adventure, Comedy, Drama, Sci-Fi, Space",TV,8.82,Positive,neutral
30276,One Punch Man,"Action, Comedy, Parody, Sci-Fi, Seinen, Super Power, Supernatural",TV,8.82,Positive,neutral
164,Mononoke Hime,"Action, Adventure, Fantasy",Movie,8.81,Positive,neutral
7311,Suzumiya Haruhi no Shoushitsu,"Comedy, Mystery, Romance, School, Sci-Fi, Supernatural",Movie,8.81,Positive,sadness
17074,Monogatari Series: Second Season,"Comedy, Mystery, Romance, Supernatural, Vampire",TV,8.8,Positive,neutral
21939,Mushishi Zoku Shou,"Adventure, Fantasy, Historical, Mystery, Seinen, Slice of Life, Supernatural",TV,8.8,Positive,neutral
457,Mushishi,"Adventure, Fantasy, Historical, Mystery, Seinen, Slice of Life, Supernatural",TV,8.78,Positive,neutral
2001,Tengen Toppa Gurren Lagann,"Action, Adventure, Comedy, Mecha, Sci-Fi",TV,8.78,Positive,neutral
245,Great Teacher Onizuka,"Comedy, Drama, School, Shounen, Slice of Life",TV,8.77,Positive,joy
32983,Natsume Yuujinchou Go,"Drama, Fantasy, Shoujo, Slice of Life, Supernatural",TV,8.76,Positive,neutral
5258,Hajime no Ippo: New Challenger,"Comedy, Drama, Shounen, Sports",TV,8.75,Positive,neutral
28957,Mushishi Zoku Shou: Suzu no Shizuku,"Adventure, Fantasy, Historical, Mystery, Seinen, Slice of Life, Supernatural",Movie,8.75,Positive,neutral
